"EventID";"Filename";"Index_In_File";"X";"Y"
"124374";"Snail4_NoBact_6_Nuc_processed";"1593";"2724.5757";"7809.257"
"130558";"Snail4_NoBact_6_Nuc_processed";"7777";"-8482.631";"6166.086"
"147014";"Snail5_EDTA_26_Nuc_processed";"4480";"254.399";"7930.7676"
"158785";"Snail5_Ice_14_Nuc_processed";"6524";"-3000.0042";"-3847.7087"
"142939";"Snail5_EDTA_26_Nuc_processed";"405";"562.80316";"1097.6782"
"160809";"Snail5_Ice_14_Nuc_processed";"8548";"-585.8289";"-518.1457"
"75308";"Snail2_Phago_17_Nuc_processed";"8068";"-4450.0728";"11539.6"
"121852";"Snail4_Ice_13_Nuc_processed";"8438";"-3276.3894";"9310.023"
"109554";"Snail4_EDTA_25_Nuc_processed";"6026";"6629.2456";"-6166.9893"
"38076";"Snail1_Phago_16_Nuc_processed";"9113";"-2227.6697";"3678.632"
"27022";"Snail1_NoBact_3_Nuc_processed";"7911";"-6718.6807";"-3310.953"
"65980";"Snail2_NoBact_4_Nuc_processed";"8361";"-2798.844";"-30767.69"
"157190";"Snail5_Ice_14_Nuc_processed";"4929";"-3486.465";"2802.965"
"75468";"Snail2_Phago_17_Nuc_processed";"8228";"1660.5388";"7967.409"
"159381";"Snail5_Ice_14_Nuc_processed";"7120";"2981.8984";"-1195.9873"
"2508";"Snail1_EDTA_22_Nuc_processed";"2508";"2786.736";"1435.4921"
"71106";"Snail2_Phago_17_Nuc_processed";"3866";"-1343.2086";"9343.3125"
"67475";"Snail2_Phago_17_Nuc_processed";"235";"-1875.4791";"5165.8545"
"158250";"Snail5_Ice_14_Nuc_processed";"5989";"962.2355";"-139.63765"
"181107";"Snail5_Phago_20_Nuc_processed";"9193";"4299.69";"7790.8003"
"88263";"Snail3_Ice_12_Nuc_processed";"2406";"-2796.0808";"-4286.412"
"70992";"Snail2_Phago_17_Nuc_processed";"3752";"2064.5593";"-10589.256"
"16659";"Snail1_Ice_10_Nuc_processed";"7059";"2106.4263";"1746.3138"
"178624";"Snail5_Phago_20_Nuc_processed";"6710";"-6789.5254";"-3591.7874"
"73695";"Snail2_Phago_17_Nuc_processed";"6455";"-3454.0688";"-1865.096"
"23586";"Snail1_NoBact_3_Nuc_processed";"4475";"-357.96268";"-24153.693"
"178016";"Snail5_Phago_20_Nuc_processed";"6102";"-1381.2909";"8981.818"
"141363";"Snail4_Phago_19_Nuc_processed";"8796";"6160.1543";"-3398.8804"
"97132";"Snail3_NoBact_5_Nuc_processed";"2533";"33.799885";"-4603.055"
"148718";"Snail5_EDTA_26_Nuc_processed";"6184";"-2494.2163";"-8194.126"
"37758";"Snail1_Phago_16_Nuc_processed";"8795";"3058.3633";"6931.4307"
"179853";"Snail5_Phago_20_Nuc_processed";"7939";"4148.2925";"7260.2666"
"118695";"Snail4_Ice_13_Nuc_processed";"5281";"-2899.503";"6783.7314"
"116896";"Snail4_Ice_13_Nuc_processed";"3482";"9074.656";"3307.6155"
"91569";"Snail3_Ice_12_Nuc_processed";"5712";"-3929.8855";"-665.48517"
"97800";"Snail3_NoBact_5_Nuc_processed";"3201";"6829.0796";"3392.3013"
"143677";"Snail5_EDTA_26_Nuc_processed";"1143";"-122.73948";"9023.196"
"74309";"Snail2_Phago_17_Nuc_processed";"7069";"4005.4836";"-4876.011"
"181602";"Snail5_Phago_20_Nuc_processed";"9688";"4131.372";"4196.0903"
